,open,high,low,close,volume,date
269,33.172,34.002,32.558,33.599,1731458.80319,2020-12-26
270,33.599,34.98,31.926,33.608,4375959.46177,2020-12-27
271,33.608,36.099,33.34,35.892,4616980.85334,2020-12-28
272,35.892,39.624,35.284,39.089,14781221.18064,2020-12-29
273,39.089,39.279,36.864,38.145,4783320.49986,2020-12-30
274,38.145,38.191,36.721,37.422,3420056.3815,2020-12-31
275,37.422,39.025,37.048,37.841,4187074.72722,2021-01-01
276,37.841,38.923,36.904,38.279,4329427.01515,2021-01-02
277,38.279,41.745,37.788,41.281,10395745.10934,2021-01-03
278,41.281,43.411,38.089,41.113,8678886.73535,2021-01-04
279,41.113,41.889,38.85,41.889,5407447.15159,2021-01-05
280,41.889,42.368,40.565,42.304,4105488.59456,2021-01-06
281,42.304,44.558,41.497,43.658,6882121.09393,2021-01-07
282,43.658,43.67,40.416,42.367,5934779.45084,2021-01-08
283,42.367,44.179,41.575,43.984,4571830.04422,2021-01-09
284,43.984,45.243,39.763,42.425,7137838.89009,2021-01-10
285,42.425,42.477,34.987,38.219,10652001.98461,2021-01-11
286,38.219,40.043,37.13,38.232,3945817.00682,2021-01-12
287,38.232,40.485,37.022,40.182,2875122.72821,2021-01-13
288,40.182,41.996,39.615,41.834,3637293.70506,2021-01-14
289,41.834,42.528,38.709,40.914,2553544.39736,2021-01-15
290,40.914,44.094,40.668,43.119,4944828.146,2021-01-16
291,43.119,46.737,40.967,45.868,6366288.49827,2021-01-17
292,45.868,46.876,44.094,45.388,3488776.16742,2021-01-18
293,45.388,47.234,41.745,42.61,5734595.5305,2021-01-19
294,42.61,42.808,40.294,42.6,4856063.36727,2021-01-20
295,42.6,42.653,38.215,38.566,2441123.95752,2021-01-21
296,38.566,41.475,36.88,40.912,3071616.17105,2021-01-22
297,40.912,41.871,39.566,40.973,1783191.89112,2021-01-23
298,40.973,42.207,40.387,41.878,1047066.8411,2021-01-24
299,41.878,43.438,40.571,41.855,1642287.60829,2021-01-25
300,41.855,42.535,39.851,41.837,1765854.17872,2021-01-26
301,41.837,42.091,39.692,41.0,2260583.73571,2021-01-27
302,41.0,43.178,40.434,42.629,1549748.10086,2021-01-28
303,42.629,44.081,41.922,42.871,2594203.87357,2021-01-29
304,42.871,45.162,42.65,44.833,3472756.76947,2021-01-30
305,44.833,45.869,43.393,44.396,3254221.41663,2021-01-31
306,44.396,52.438,43.511,51.438,6470053.62598,2021-02-01
307,51.438,52.977,49.396,51.046,7042478.30434,2021-02-02
308,51.046,52.733,49.902,52.245,2572745.55175,2021-02-03
309,52.245,57.122,51.403,56.089,4955255.74758,2021-02-04
310,56.089,68.736,56.075,67.758,10710459.536,2021-02-05
311,67.758,75.577,61.765,72.865,34427104.05056,2021-02-06
312,72.865,74.835,64.334,68.459,20106131.16056,2021-02-07
313,68.459,79.991,67.789,79.82,17644300.5427,2021-02-08
314,79.82,115.912,78.315,107.67,39622783.30687,2021-02-09
315,107.572,148.188,107.481,128.843,74811249.53067,2021-02-10
